frame,track_id,x1,y1,x2,y2,cx,cy,confirmed
13,1,370,174,440,297,405,235,True
14,1,377,206,440,316,408,261,True
15,1,379,230,440,329,409,279,True
16,1,380,249,441,356,410,302,True
17,1,381,268,442,364,411,316,True
18,1,382,289,442,381,412,335,True
19,1,383,308,440,396,411,352,True
20,1,383,329,442,406,412,367,True
21,1,384,347,442,420,413,383,True
22,1,384,364,445,432,414,398,True
23,1,387,376,441,445,414,410,True
24,1,388,393,428,456,408,424,True
25,1,389,406,431,467,410,436,True
26,1,390,418,432,476,411,447,True
27,1,389,427,433,485,411,456,True
28,1,389,437,431,495,410,466,True
29,1,388,449,429,503,408,476,True
30,1,387,460,427,511,407,485,True
31,1,384,470,425,520,404,495,True
32,1,380,484,434,530,407,507,True
33,1,378,492,434,534,406,513,True
34,1,377,492,434,543,405,517,True
35,1,372,493,425,548,398,520,True
36,1,368,518,415,555,391,536,True
37,1,368,530,411,560,389,545,True
38,1,368,537,405,567,386,552,True
39,1,362,542,404,573,383,557,True
40,1,362,547,403,580,382,563,True
41,1,359,555,400,586,379,570,True
42,1,360,559,401,592,380,575,True
43,1,359,565,396,597,377,581,True
44,1,359,566,396,603,377,584,True
45,1,360,577,396,608,378,592,True
46,1,360,579,397,615,378,597,True
47,1,360,588,398,620,379,604,True
48,1,364,598,399,625,381,611,True
49,1,364,598,400,631,382,614,True
50,1,372,610,405,636,388,623,True
51,1,372,614,405,641,388,627,True
52,1,373,622,406,648,389,635,True
53,1,377,628,418,652,397,640,True
54,1,378,629,418,661,398,645,True
55,1,377,633,418,663,397,648,True
56,1,377,633,418,675,397,654,True
56,2,261,275,427,374,344,324,True
57,1,384,644,421,687,402,665,True
57,2,256,281,418,377,337,329,True
58,1,384,646,420,687,402,666,True
58,2,233,284,408,380,320,332,True
59,1,384,646,422,687,403,666,True
59,2,209,293,399,385,304,339,True
60,1,388,647,425,687,406,667,True
60,2,192,293,399,390,295,341,True
61,1,388,654,436,690,412,672,True
61,2,170,308,372,399,271,353,True
62,1,388,654,436,690,412,672,True
62,2,171,322,359,407,265,364,True
63,1,393,654,436,717,414,685,True
63,2,134,328,344,415,239,371,True
64,1,393,654,436,717,414,685,True
64,2,141,343,332,423,236,383,True
65,1,393,654,436,717,414,685,True
65,2,84,349,315,430,199,389,True
66,2,58,360,298,438,178,399,True
67,2,34,373,279,446,156,409,True
68,2,25,386,260,454,142,420,True
69,2,25,386,260,454,142,420,True
70,1,401,683,456,739,428,711,True
70,2,25,386,260,454,142,420,True
71,1,401,683,456,739,428,711,True
71,2,25,386,260,454,142,420,True
72,1,401,683,456,739,428,711,True
73,1,401,683,456,739,428,711,True
142,3,306,30,369,102,337,66,True
143,3,276,32,333,102,304,67,True
144,3,276,32,333,102,304,67,True
145,3,276,32,333,102,304,67,True
146,3,276,32,333,102,304,67,True
148,6,88,44,164,121,126,82,True
149,6,43,52,128,129,85,90,True
150,6,43,52,128,129,85,90,True
151,6,43,52,128,129,85,90,True
152,6,43,52,128,129,85,90,True
282,12,268,271,311,295,289,283,True
283,12,268,271,311,295,289,283,True
284,12,268,271,311,295,289,283,True
285,12,268,271,311,295,289,283,True
